sectionid{}uid{}datetime{}type{}sid
1003541{}347759{}20110701 000000{}d{}36169946
1010391{}352872{}20110701 000015{}d{}36233221
1001051{}346041{}20110701 000018{}v{}361538
1008910{}351657{}20110701 000022{}d{}36270989
1006505{}349747{}20110701 000023{}d{}36194267
1009241{}351924{}20110701 000030{}d{}36208190
1010122{}352652{}20110701 000030{}d{}36272958
1005401{}347679{}20110701 000039{}d{}36109158
1002318{}346041{}20110701 000046{}v{}361538
1005611{}349055{}20110701 000047{}d{}36151535
1003288{}347585{}20110701 000056{}d{}36134403
1004397{}348182{}20110701 000058{}d{}36178950
1009587{}352213{}20110701 000059{}d{}36280292
1006211{}349510{}20110701 000100{}d{}36184332
1007210{}350287{}20110701 000104{}d{}36184139
1009082{}351789{}20110701 000108{}d{}36208472
1008358{}351219{}20110701 000116{}d{}36209168
1000976{}345979{}20110701 000117{}d{}36155389
1008206{}351085{}20110701 000131{}d{}36215653
1010125{}352654{}20110701 000131{}d{}36272967
1008988{}351638{}20110701 000132{}d{}36270987
1001392{}346321{}20110701 000133{}v{}361538
1009469{}352118{}20110701 000133{}d{}36227895
1007122{}350209{}20110701 000144{}d{}36184139
1009447{}352099{}20110701 000145{}d{}36227895
1009604{}352228{}20110701 000210{}d{}36280294
1011025{}353390{}20110701 000217{}d{}36223156
1007173{}350252{}20110701 000242{}d{}36184139
1008841{}351609{}20110701 000252{}d{}36270987
1005815{}349211{}20110701 000255{}d{}36157670
1008859{}351624{}20110701 000300{}d{}36270987
1010917{}353304{}20110701 000300{}d{}36207984
1008590{}351409{}20110701 000320{}v{}362513
1008878{}351638{}20110701 000336{}d{}36270987
1002046{}346754{}20110701 000337{}v{}361538
1001393{}346322{}20110701 000339{}v{}361538
1007253{}350317{}20110701 000339{}d{}36184138
1008884{}351641{}20110701 000349{}d{}36270989
1007958{}350870{}20110701 000350{}d{}36211694
1010060{}352604{}20110701 000354{}d{}36272959
1003765{}347879{}20110701 000355{}d{}36122108
1009278{}351955{}20110701 000401{}d{}36227755
1002047{}346755{}20110701 000406{}v{}361538
1003579{}347794{}20110701 000406{}d{}36122108
1007728{}350667{}20110701 000419{}d{}36211696
1002319{}346929{}20110701 000425{}v{}361538
1003580{}347795{}20110701 000431{}d{}36122110
1002320{}346930{}20110701 000432{}v{}361538
1006780{}349946{}20110701 000445{}d{}36194657
1006212{}349511{}20110701 000447{}d{}36184334
1009717{}352324{}20110701 000455{}d{}36280292
1008448{}351295{}20110701 000456{}d{}36233233
1007081{}350174{}20110701 000500{}d{}36184139
1008865{}351629{}20110701 000501{}d{}36270988
1000927{}345935{}20110701 000519{}v{}361117
1010056{}352601{}20110701 000522{}d{}36272024
1002321{}346931{}20110701 000523{}v{}361538
1001394{}346323{}20110701 000524{}v{}361538
1010372{}352854{}20110701 000532{}d{}36233222
1002322{}346932{}20110701 000541{}v{}361538
1004917{}348561{}20110701 000547{}d{}36135433
1010546{}353001{}20110701 000602{}d{}36233221
1002323{}346043{}20110701 000612{}v{}361538
1009002{}351720{}20110701 000623{}d{}36270987
1010561{}353014{}20110701 000623{}d{}36233222
1008500{}351334{}20110701 000627{}d{}36272554
1004593{}348334{}20110701 000631{}d{}36192457
1010775{}353193{}20110701 000639{}d{}36233940
1001052{}346042{}20110701 000641{}v{}361538
1001395{}346324{}20110701 000641{}v{}361538
1008870{}351634{}20110701 000641{}d{}36270989
1008993{}351713{}20110701 000645{}d{}36270987
1001053{}346043{}20110701 000650{}v{}361538
1002324{}346933{}20110701 000707{}v{}361538
1002788{}347205{}20110701 000710{}d{}36107287
1007337{}350384{}20110701 000721{}d{}36150620
1011153{}353506{}20110701 000723{}d{}36254243
1004673{}348395{}20110701 000727{}d{}36192456
1000934{}345941{}20110701 000755{}d{}36155389
1009345{}352016{}20110701 000833{}d{}36227895
1002048{}346756{}20110701 000838{}v{}361538
1000430{}345611{}20110701 000843{}v{}361
1000431{}345611{}20110701 000844{}v{}361
1009948{}352518{}20110701 000847{}d{}36233216
1006213{}349512{}20110701 000853{}d{}36184333
1010948{}353332{}20110701 000855{}d{}36207981
1004542{}348299{}20110701 000856{}d{}36180340
1000682{}345743{}20110701 000900{}d{}36172758
1006146{}349452{}20110701 000905{}d{}36182710
1002325{}346934{}20110701 000920{}v{}361538
1010067{}352610{}20110701 000920{}d{}36272958
1006396{}349651{}20110701 000925{}d{}36182677
1009374{}352039{}20110701 000937{}d{}36227895
1000935{}345942{}20110701 000956{}d{}36155389
1003687{}347205{}20110701 000956{}d{}36122110
1001055{}346044{}20110701 001004{}v{}361538
1009000{}351718{}20110701 001007{}d{}36270989
1009190{}351885{}20110701 001018{}d{}36279429
1009905{}352482{}20110701 001019{}d{}36272023
1007254{}350318{}20110701 001026{}d{}36184139
